Coast Oil,The Green Diesel Handicap Chase
GAA Tourlestrane,The Champion Hurdle
Jonathan Brennan Electrical,The Bright Spark Cup
Chic Beauty Clinic,The Powder Chase
Brendan Flynn Builders,The Bricky Challenge Cup
Leonie McAllister,Publican's Chase
KedCo Solid Fuels,Flaming Hurdles
Aclare Plastics,Aclare Plastics Champions Derby
Fallons Builder,The Fallon Chase
Ti Aire Nursing Home,Dodgy Hip Chase
"Aileen Egan Chartered Accountants, Tubbercurry",The Recession Prize Chase
McKane's Pharmacy,The Illegible Scrawl Hurdles
