Fallon's Builders,The Bricky Chase
Michael O'Hara Crash Repairs,The Civic Cup
"Aileen Egan Chartered Accountants, Tubbercurry",The SSIA Prize Chase
Moy Ridge Nursing Home,The Moy Ridge Hurdle
"McKane Pharmacy, Ballina",The McKane Chase
Paddy O'Hara's Gutters,The O'Hara Trophy
"John Brennan Undertakers, Cloonacool",The Chief Mourner Hurdles
"Surlis's, Tubbercurry",The Surlis Chase
Coast Oil,The Green Petrol Handicap Chase
Tommy Gaughan Welding,The Welded Cup
FBD Insurance Ltd.,The Insurance Premium Chase
"Flynn's Pub, Aclare",The Next Round's On Me Trophy
